time_s,I_prompt,Q_prompt
0,2803.78644711795,-2981.95706525901
0.001,2760.69958017492,-3064.17435902403
0.002,2414.84511671602,-3258.61642537764
0.003,2385.07243871066,-3311.24716429554
0.004,2211.88909322381,-3383.34066945497
0.005,2245.88138570478,-3350.63901621779
0.006,2036.74009259742,-3524.71300111477
0.007,2000.69664719204,-3523.26840544225
0.008,1880.04611796723,-3591.67925693131
0.009,1758.090033858,-3707.82965071045
0.01,1760.85826140544,-3727.55557511854
0.011,1675.19859179234,-3685.68087198956
0.012,1601.3904368438,-3692.38477962176
0.013,1496.1633237872,-3746.05689651466
0.014,1323.01404193459,-3828.79978919943
0.015,1111.64260041536,-3797.90947441532
0.016,1163.62524381098,-3771.71746716195
0.017,915.578508389206,-3792.68080099575
0.018,916.667301957848,-3695.23553900975
0.019,862.085368668888,-3706.38836370261
0.02,634.790137669394,-3701.5984573661
0.021,630.08407599005,-3714.60385667394
0.022,317.5373255709,-3625.16816608986
0.023,329.917012944075,-3593.83388491157
0.024,162.069634245391,-3532.2467701289
0.025,194.32307484514,-3482.32072287393
0.026,-29.8364970741022,-3480.03057674725
0.027,-41.7627278116441,-3421.23629703183
0.028,-106.763580007164,-3364.71011620754
0.029,-186.782039827257,-3382.50241289847
0.03,-130.020511103888,-3359.89939825171
0.031,-82.0807684559359,-3247.70665197414
0.032,-85.2196497423334,-3206.43946876933
0.033,-91.129692121827,-3193.36042660561
0.034,-166.789586852228,-3143.19055044136
0.035,-217.639243348035,-3022.94409687867
0.036,-118.5782868654,-2988.92652579376
0.037,-244.328455848657,-2932.26363098652
0.038,-184.246948623694,-2894.94957346198
0.039,-204.865049159692,-2907.45885511846
0.04,-327.773405995585,-2866.71580732846
0.041,-237.4132423193,-2927.29672115804
0.042,-361.19060510905,-2894.61363539441
0.043,-291.46232048782,-2920.97395437598
0.044,-314.510388523586,-2887.62353945072
0.045,-159.583781420632,-2867.7939798254
0.046,-208.375721340204,-2843.67954264367
0.047,-106.479619158452,-2794.29117112067
0.048,-55.3767619505249,-2757.36503362076
0.049,-13.322529959907,-2776.12587925512
0.05,128.96323588439,-2822.30805805762
0.051,237.977424441999,-2773.1027575208
0.052,323.585762680989,-2711.50946646412
0.053,364.555205088971,-2682.99189938221
0.054,329.766025555755,-2677.34133344315
0.055,258.449382860155,-2616.66993834324
0.056,366.477967273263,-2626.68044404864
0.057,262.39905209894,-2634.37748107389
0.058,317.693386736894,-2565.55820772186
0.059,271.191486501183,-2555.83117630386
0.06,148.185995124633,-2488.6108688271
0.061,228.324075363216,-2469.74221866465
0.062,113.877532257374,-2448.80077630137
0.063,166.770170105818,-2464.56867981559
0.064,148.036227856901,-2423.9409205006
0.065,259.570782352102,-2396.15637377307
0.066,170.451659498505,-2422.80043600861
0.067,207.168241741354,-2438.11097593921
0.068,144.129402293621,-2487.60040609351
0.069,90.358830403174,-2556.31587369246
0.07,140.45600182651,-2593.77755306715
0.071,171.983721042186,-2549.34360475342
0.072,220.255225948309,-2528.02816256259
0.073,198.461653155117,-2549.71584539542
0.074,130.774413209846,-2549.07240242108
0.075,120.126227736416,-2486.65468501004
0.076,222.943294829799,-2441.17021304415
0.077,147.681232250074,-2421.26321621854
0.078,230.931380429458,-2332.35202232591
0.079,241.238164152187,-2305.16368546491
0.08,147.677836362074,-2273.70126965644
0.081,226.628135893279,-2238.56678382341
0.082,151.70914950772,-2196.2953722261
0.083,254.748753715867,-2182.38472322792
0.084,233.481820548282,-2163.34981681832
0.085,345.470981695569,-2145.39659757543
0.086,283.837631903936,-2169.56012752514
0.087,337.721941337085,-2141.31835196601
0.088,343.063306432184,-2135.26140794424
0.089,374.545205971361,-2164.37940134397
0.09,479.279090382882,-2141.48119232401
0.091,567.339208908724,-2089.65621510896
0.092,623.055847599126,-2075.03188728187
0.093,670.759475192803,-2079.32943892913
0.094,685.027427641561,-2109.01506585554
0.095,656.638140425633,-2098.44539294394
0.096,705.091738643034,-2125.02712517342
0.097,599.552921521524,-2237.63904586814
0.098,642.571431735469,-2281.12548159248
0.099,623.641380327016,-2383.68251890121
0.1,494.22362107297,-2475.95333638169
0.101,558.456513077746,-2600.18123335484
0.102,400.287237887343,-2663.77324312389
0.103,440.875650810288,-2762.84884033005
0.104,351.854009623022,-2801.88170066722
0.105,433.108857440807,-2813.44429330365
0.106,322.448188083105,-2867.99834873564
0.107,366.031910128928,-2878.98646734265
0.108,345.088305793596,-2897.21724774508
0.109,278.796853048843,-2971.60310730258
0.11,323.687823105305,-3049.47246990226
0.111,374.23593856734,-3045.55922653104
0.112,396.164690729998,-3042.26707644903
0.113,370.15222890395,-3094.41012703267
0.114,300.131095578662,-3207.22955055918
0.115,209.843086020386,-3251.14118571106
0.116,306.276134816696,-3327.080360814
0.117,148.998225206395,-3406.03066256294
0.118,211.492264021056,-3432.82217926862
0.119,186.472281328301,-3537.70190518273
0.12,24.7521285571024,-3593.42331660023
0.121,103.933785717912,-3708.11470323651
0.122,-132.569221064715,-3699.48167793677
0.123,-57.7790501012459,-3773.16469117958
0.124,-146.025336520002,-3746.20946174242
0.125,-28.0337052564046,-3738.4583089895
0.126,-234.043498033935,-3767.54103039867
0.127,-210.177902536176,-3761.16184876128
0.128,-246.338282318249,-3756.76701522079
0.129,-321.209901531422,-3802.40284259063
0.13,-260.381150847242,-3844.50092941583
0.131,-201.355815438499,-3786.97059957698
0.132,-160.359718980532,-3760.22959446513
0.133,-153.341194664595,-3760.62785518842
0.134,-217.667555599414,-3777.80134435273
0.135,-249.454809827208,-3703.81309140267
0.136,-86.6467293409009,-3739.49338067663
0.137,-209.727427045965,-3771.57586808625
0.138,-81.8214286675723,-3780.49026747179
0.139,-77.6406028441014,-3847.39947739871
0.14,-226.45540445347,-3815.89018181177
0.141,-151.584878952005,-3878.68052398824
0.142,-383.314765032077,-3801.85632384241
0.143,-333.670951698753,-3858.60058526918
0.144,-414.405785270258,-3863.14562097762
0.145,-297.84565604049,-3893.53411348035
0.146,-510.370138049127,-3942.28754409247
0.147,-475.532281867488,-3949.98721105277
0.148,-524.196913341083,-3969.62056411387
0.149,-590.996508490545,-4043.70834555889
0.15,-470.380388874903,-4093.66375242498
0.151,-373.842477857753,-4031.57476947592
0.152,-322.038553339387,-3978.39179606292
0.153,-321.485644590311,-3934.50775866954
0.154,-375.208879566465,-3904.37624022101
0.155,-400.658639794909,-3809.02923651588
0.156,-241.874309066444,-3836.64483066005
0.157,-387.938738906101,-3841.06187514897
0.158,-260.268676670193,-3864.21745715848
0.159,-266.11544624418,-3922.98205536545
0.16,-432.389347291726,-3871.7271539044
0.161,-318.789984244629,-3949.79504004114
