scint,bw,S4,sigmaPhi,cycleSlips,lockFraction,meanCN0
0,5,0.0327298286688911,0.198362843854568,0,0.690666666666667,30.8938444919024
0,10,0.0327298286688877,0.11101728670671,0,1,33.5103716137767
0,15,0.0327298286688911,0.0923495164488063,0,1,33.6596927661663
0,18,0.0327298286688877,0.0837995596693963,0,1,33.6881438489789
0,25,0.0327298286688911,0.0630737580233704,0,1,33.7408337658369
0,35,0.0327298286688911,0.0431269650917404,0,1,33.7768762955005
0,50,0.0327298286688877,0.0340538441725248,0,1,33.7884648013822
0.3,5,0.330350867427098,0.389840134931066,9,0.826666666666667,30.9692741234643
0.3,10,0.330350867427096,0.245924950568542,7,0.966666666666667,32.3437781036556
0.3,15,0.330350867427096,0.146402988311347,0,1,32.935034015576
0.3,18,0.330350867427096,0.113757604458473,0,1,33.0636342401715
0.3,25,0.330350867427096,0.0742774789065409,0,1,33.1738159977029
0.3,35,0.330350867427095,0.05142006617363,0,1,33.2161570244355
0.3,50,0.330350867427097,0.0393446608640148,0,1,33.2320506783475
0.6,5,0.539110777228479,0.37901076293249,8,0.757333333333333,31.2440937590187
0.6,10,0.539110777228479,0.229664235973275,5,0.976,32.1758030023016
0.6,15,0.539110777228479,0.151668198646243,0,1,32.5612926036939
0.6,18,0.539110777228479,0.127515293674002,0,1,32.6506751425549
0.6,25,0.539110777228478,0.0965185048094577,0,1,32.733687352269
0.6,35,0.539110777228479,0.074553283515705,0,1,32.7750361161291
0.6,50,0.539110777228478,0.0583962606896835,0,1,32.8010840477001
1,5,0.813935195624667,0.822896744560529,23,0.661333333333333,18.916752276278
1,10,0.813935195624667,0.808228053773358,24,0.781333333333333,19.4674618873468
1,15,0.813935195624667,0.325748722971895,10,0.921333333333333,31.7172922487576
1,18,0.813935195624667,0.286518742499431,9,0.937333333333333,31.9267074476533
1,25,0.813935195624667,0.22916068395678,8,0.956,32.1547346180329
1,35,0.813935195624667,0.185591653128254,9,0.974666666666667,32.2675476131914
1,50,0.813935195624667,0.154372777881696,6,0.984,32.3298706878185
